	n_pathways
ENSG00000112983	3
ENSG00000198162	10
ENSG00000141759	10
ENSG00000032444	5
ENSG00000165416	11
ENSG00000049247	7
ENSG00000135960	4
ENSG00000090060	14
ENSG00000113649	6
ENSG00000102316	4
ENSG00000236759	22
ENSG00000224143	22
ENSG00000238134	22
ENSG00000227333	22
ENSG00000204371	22
ENSG00000206376	22
ENSG00000232045	22
ENSG00000198612	13
ENSG00000205937	19
ENSG00000164896	3
ENSG00000006634	10
ENSG00000017797	6
ENSG00000263465	6
ENSG00000124701	4
ENSG00000185787	3
ENSG00000165672	4
ENSG00000110047	2
ENSG00000141385	5
ENSG00000104356	3
ENSG00000173610	6
ENSG00000007038	3
ENSG00000005302	3
ENSG00000105438	16
ENSG00000183431	15
ENSG00000131748	5
ENSG00000177733	5
ENSG00000108468	10
ENSG00000106803	10
ENSG00000065485	5
ENSG00000132824	3
ENSG00000135506	25
ENSG00000086598	17
ENSG00000169223	9
ENSG00000168439	8
ENSG00000137959	4
ENSG00000119673	14
ENSG00000141542	3
ENSG00000117395	4
ENSG00000136026	14
ENSG00000255154	4
ENSG00000134308	35
ENSG00000170348	13
ENSG00000112249	8
ENSG00000148671	3
ENSG00000127540	4
ENSG00000172409	16
ENSG00000073712	9
ENSG00000168090	13
ENSG00000118508	7
ENSG00000089154	4
ENSG00000121022	20
ENSG00000111142	4
ENSG00000132305	3
ENSG00000277414	3
ENSG00000278437	3
ENSG00000105609	3
ENSG00000274311	3
ENSG00000273991	3
ENSG00000188338	4
ENSG00000087365	16
ENSG00000135094	4
ENSG00000083807	8
ENSG00000167114	8
ENSG00000263163	5
ENSG00000143554	5
ENSG00000140284	17
ENSG00000142945	32
ENSG00000133710	6
ENSG00000278279	3
ENSG00000186818	3
ENSG00000275730	3
ENSG00000278555	3
ENSG00000276042	3
ENSG00000162892	4
ENSG00000139278	7
ENSG00000136240	11
ENSG00000100196	16
ENSG00000124380	4
ENSG00000121897	3
ENSG00000100360	4
ENSG00000111737	8
ENSG00000182134	3
ENSG00000274935	3
ENSG00000104974	3
ENSG00000277398	3
ENSG00000275525	3
ENSG00000273884	5
ENSG00000275841	5
ENSG00000278046	5
ENSG00000276175	5
ENSG00000274000	3
ENSG00000275290	3
ENSG00000278634	3
ENSG00000239998	3
ENSG00000070748	9
ENSG00000168461	10
ENSG00000105963	4
ENSG00000129465	33
ENSG00000285379	33
ENSG00000243244	4
ENSG00000180198	17
ENSG00000174684	15
ENSG00000112941	6
ENSG00000105668	6
ENSG00000130958	15
ENSG00000130706	180
ENSG00000153922	8
ENSG00000167005	14
ENSG00000111605	19
ENSG00000278053	5
ENSG00000277594	5
ENSG00000123124	16
ENSG00000284917	5
ENSG00000173575	4
ENSG00000198373	14
ENSG00000119397	23
ENSG00000175063	51
ENSG00000184209	4
ENSG00000091428	12
ENSG00000170004	43
ENSG00000126062	8
ENSG00000163781	24
ENSG00000233573	4
ENSG00000224168	4
ENSG00000224542	4
ENSG00000137397	4
ENSG00000225130	4
ENSG00000226402	4
ENSG00000223531	4
ENSG00000204616	4
ENSG00000104435	5
ENSG00000100106	4
ENSG00000111642	44
ENSG00000139330	13
ENSG00000101191	4
ENSG00000134249	3
ENSG00000198610	13
ENSG00000196363	46
ENSG00000281244	17
ENSG00000160323	17
ENSG00000134917	11
ENSG00000154736	11
ENSG00000136243	75
ENSG00000150687	4
ENSG00000173175	49
ENSG00000105323	5
ENSG00000163684	6
ENSG00000111615	5
ENSG00000126856	3
ENSG00000110851	4
ENSG00000149554	28
ENSG00000106049	3
ENSG00000122966	10
ENSG00000213066	23
ENSG00000138080	3
ENSG00000186470	3
ENSG00000026950	3
ENSG00000292170	3
ENSG00000112763	3
ENSG00000117602	7
ENSG00000117281	3
ENSG00000131437	24
ENSG00000148606	12
ENSG00000100604	3
ENSG00000276781	3
ENSG00000122952	18
ENSG00000137225	2
ENSG00000142330	2
ENSG00000118162	4
ENSG00000128283	11
ENSG00000021488	12
ENSG00000089199	4
ENSG00000105401	36
ENSG00000169306	8
ENSG00000136504	3
ENSG00000100206	4
ENSG00000176485	8
ENSG00000174842	4
ENSG00000102879	7
ENSG00000196998	2
ENSG00000292221	2
ENSG00000100478	4
ENSG00000164167	6
ENSG00000133048	3
ENSG00000147475	18
ENSG00000173598	3
ENSG00000165609	5
ENSG00000272325	3
ENSG00000163430	7
ENSG00000164985	18
ENSG00000023734	14
ENSG00000136378	9
ENSG00000049192	9
ENSG00000076108	4
ENSG00000133063	6
ENSG00000178252	9
ENSG00000118094	3
ENSG00000281165	3
ENSG00000160326	3
ENSG00000241644	4
ENSG00000184363	3
ENSG00000010322	7
ENSG00000110721	6
ENSG00000126001	17
ENSG00000120688	4
ENSG00000197150	3
ENSG00000107651	8
ENSG00000156076	4
ENSG00000092201	34
ENSG00000174233	49
ENSG00000100288	6
ENSG00000183765	24
ENSG00000101751	12
ENSG00000129455	3
ENSG00000188419	13
ENSG00000111432	4
ENSG00000090376	12
ENSG00000170776	14
ENSG00000108599	2
ENSG00000064703	10
ENSG00000203668	14
ENSG00000143507	10
ENSG00000114686	7
ENSG00000136942	41
ENSG00000139629	4
ENSG00000136542	4
ENSG00000128656	6
ENSG00000256525	5
ENSG00000291729	6
ENSG00000170881	6
ENSG00000169239	2
ENSG00000269858	4
ENSG00000129521	4
ENSG00000106069	5
ENSG00000291387	5
ENSG00000117115	5
ENSG00000160783	18
ENSG00000166073	4
ENSG00000155115	6
ENSG00000135973	4
ENSG00000183134	8
ENSG00000100266	3
ENSG00000177239	18
ENSG00000268104	9
ENSG00000101180	6
ENSG00000178996	3
ENSG00000137100	37
ENSG00000184575	3
ENSG00000187446	5
ENSG00000101417	2
ENSG00000159210	8
ENSG00000152086	86
ENSG00000292120	86
ENSG00000276684	4
ENSG00000273944	4
ENSG00000160439	4
ENSG00000274504	4
ENSG00000274418	4
ENSG00000276341	4
ENSG00000276826	4
ENSG00000278149	4
ENSG00000275474	4
ENSG00000278284	4
ENSG00000184979	33
ENSG00000112116	12
ENSG00000109466	7
ENSG00000119650	4
ENSG00000099365	8
ENSG00000213689	7
ENSG00000168539	8
ENSG00000168356	8
ENSG00000139648	3
ENSG00000267673	15
ENSG00000241935	3
ENSG00000161013	14
ENSG00000284501	14
ENSG00000186526	10
ENSG00000039650	4
ENSG00000027847	9
ENSG00000172315	9
ENSG00000176476	7
ENSG00000181072	12
ENSG00000166105	11
ENSG00000159479	15
ENSG00000121281	46
ENSG00000161714	3
ENSG00000137491	10
ENSG00000142538	6
ENSG00000133019	12
ENSG00000136631	13
ENSG00000011009	4
ENSG00000146670	10
ENSG00000291918	10
ENSG00000167851	10
ENSG00000116288	11
ENSG00000105669	11
ENSG00000099840	3
ENSG00000213638	3
ENSG00000169105	10
ENSG00000180720	8
ENSG00000071073	16
ENSG00000141524	3
ENSG00000136883	8
ENSG00000076351	9
ENSG00000198231	16
ENSG00000101276	4
ENSG00000122642	4
ENSG00000112079	7
ENSG00000184984	8
ENSG00000162438	4
ENSG00000215021	6
ENSG00000097021	4
ENSG00000106244	3
