gene,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets,n_datasets_reproducible,consensus_fraction
FAT4,0.03581741494,0.01124260246265776,0.270037631,0.001386188008,0.225406642,0.31049443,-2.001076400756691,0.5654199512183207,5,0,0.0
FCAMR,0.00010134451832000001,0.00030491313969706,0.0,0.0020172044759999997,0.0,0.0020172044759999997,-0.05034210987537156,0.10953066330902794,5,0,0.0
FCAR,0.0032368264199999996,0.00154939976687792,0.00504626924,0.07368365,0.11354953353800001,0.16467147399999998,-1.4836279357143143,1.2783957599253277,5,0,0.0
FCER1A,0.0076930845720000005,0.00541322115210514,0.0130315588,0.26451388200000003,0.0223941918,0.26451388200000003,-2.364791022458709,0.5350564583497338,5,0,0.0
FCGR1A,0.015276547100000001,0.0051833678223358205,0.0038303205199999996,0.24663095,0.02063696388,0.24663095,-2.122131828195168,0.4472458054691531,5,0,0.0
FCGR2A,0.18380313799999998,0.06587168378751272,0.2062204248,0.9761975679999999,0.0806819492,0.9761975679999999,-2.270169582649509,1.013525784197197,5,0,0.0
FCGR2B,0.017354595940000002,0.0090133506000172,0.0560638302,0.45501458799999994,0.073291928,0.46421304799999996,-2.8817318612366796,0.4442351384170455,5,0,0.0
FCGR2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0
FCGR3A,0.0521617078,0.0210701544992592,0.11589812420000001,1.6471312999999999,0.0955434612,1.6471312999999999,-4.061276314380829,0.5315699169719119,5,0,0.0
FCGR3B,0.009224358418000001,0.0017718861531345602,0.028038011319999993,0.32609293500000003,0.0023733526000000002,0.32609293500000003,-2.376954269669807,1.2695179320884604,5,0,0.0
FCGRT,1.251322186,0.34904914182373953,2.5255,1.64929232,4.90681474,4.90681474,-2.0182345067611656,0.5447139927893896,5,0,0.0
FCRL1,0.003880766797,0.00057219075136648,0.05948530956,0.161728895,0.0,0.161728895,-1.6524198890487867,1.0096795331568154,5,0,0.0
FCRL2,0.01201934268,0.00610956765125688,0.0054116604,0.3389573036,0.0012536929894,0.3389573036,-1.7579598044483944,1.398955304376446,5,0,0.0
FCRL3,0.005560991796,0.0018210675002284199,0.00054774676,0.28710716599999997,0.0197027219,0.28710716599999997,-2.2122148051042196,0.9538258039935303,5,0,0.0
FCRL4,0.0044847169,0.00104252791280782,0.0,0.046850419,1.22831766e-06,0.046850419,-0.5374147223463782,0.7180773467717838,5,0,0.0
FCRL5,0.01451187502,0.0026622465658224597,0.0147343634,0.693384253,0.0011352911234,0.693384253,-2.228560128611435,1.5442387243193596,5,0,0.0
FCRL6,0.014427399940000002,0.0077102715760250405,0.00036856222600000003,0.27670342800000003,0.00292627092,0.27670342800000003,-2.209295265225583,0.4971073721508011,5,0,0.0
FFAR1,1.4904960000000001e-05,3.70851103282e-05,0.0,0.003861004326,0.00122416386,0.004561660526,-0.12065587045850461,0.1311129047470774,5,0,0.0
FFAR2,0.014158969127999998,0.0038364411717511397,0.00037670924,0.07329393619999999,0.0040679403299999995,0.07329393619999999,-0.880078199095057,0.40668217952488134,5,0,0.0
FFAR3,6.2515134e-05,0.00018814675446848,8.292691000000001e-05,0.008302623,0.00014985067999999998,0.008302623,-0.21049490235809545,0.18474273872782465,5,0,0.0
FFAR4,0.002838478562,0.0017643569524624602,0.0,0.044772557000000004,0.0016298708,0.044772557000000004,-0.768032041423713,0.39370016677474534,5,0,0.0
FGFR1,0.7483567680000001,0.14309465533170332,1.7166711200000002,0.1506356152,0.967605414,1.7166711200000002,-2.2316848888443,1.472663627554852,5,0,0.0
