smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
CC1(C)[C@@H]2[C@@H](C(=O)N[C@H](C#N)C[C@@H]3CCNC3=O)N(C(=O)OCc3cccnc3)C[C@@H]21,CHEMBL5575592,IC50,79.0,7.102372908709558,1,425.48900000000015,1,O=C1NCCC1CCNC(=O)C1C2CC2CN1C(=O)OCc1cccnc1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)c1cc2c(F)cccc2[nH]1)C(=O)NN(C[C@@H]1CCNC1=O)C(=O)[C@@H](F)Cl,CHEMBL5190754,IC50/Ki,126.0,7.101296975161809,2,497.9300000000003,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NNCC1CCNC1=O,SARS_Mpro_train
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)OCc1ccccc1)C(=O)NC(C=O)CC1CCCC1,CHEMBL5566569,IC50,79.43,7.100015437450609,1,553.6750000000001,1,O=C(CNC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)NCCC1CCCC1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cnn(CC3CCOCC3)c2)cc(-c2ccn(C)n2)c1,CHEMBL6141852,IC50,80.0,7.096910013008056,1,570.7380000000003,1,O=C(NCc1cc(-c2cnn(CC3CCOCC3)c2)cc(-c2cc[nH]n2)c1)c1ccccc1,SARS_Mpro_train
CC(C)(F)C(=O)N[C@H](C(=O)N[C@@H](COCc1ccccc1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc12)C1CC1,CHEMBL6152986,IC50,80.0,7.096910013008056,1,575.6410000000001,1,O=C(CC1CC1)NC(COCc1ccccc1)C(=O)N1CCC2(C1)C(=O)Nc1ccccc12,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cnn(CC(N)=O)c2)cc(-c2cccs2)c1,CHEMBL6142438,IC50,80.0,7.096910013008056,1,531.6820000000002,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cccs2)c1)c1ccccc1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2ccc(N3CCOCC3)nc2)cc(-c2cnn(C)c2)c1,CHEMBL6145028,IC50,80.0,7.096910013008056,1,568.7220000000003,1,O=C(NCc1cc(-c2ccc(N3CCOCC3)nc2)cc(-c2cn[nH]c2)c1)c1ccccc1,SARS_Mpro_train
O=C1C=Cc2cc(Br)ccc2C1=O,CHEMBL4303595,IC50,100.0,7.096910013008056,2,237.052,1,O=C1C=Cc2ccccc2C1=O,SARS_Mpro_train
CC(C)C[C@H](NC(=O)OCC1CCC(F)(F)CC1)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,CHEMBL5175540,IC50,80.0,7.096910013008056,1,445.5070000000002,1,O=C(CNC(=O)OCC1CCCCC1)NCCC1CCNC1=O,SARS_Mpro_train
O=C(N[C@@H](CC1CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])OCCc1cccc(Cl)c1,CHEMBL4860690,IC50,80.0,7.096910013008056,1,531.0070000000003,1,O=C(NC(CC1CC1)C(=O)NCCC1CCNC1=O)OCCc1ccccc1,SARS_Mpro_train
