held_out,compound,method,n_sources,repro_r,source_repro_r,reproducible,source_reproducible,transfer_efficiency,pearson_delta,mae,top50_overlap,sign_match
NCI-H1573,Aprepitant,weighted_consensus,49,0.35614657402038574,0.27911079484893353,True,False,1.9266419844328542,0.6861669421195984,0.15038436651229858,0.28,0.92
NCI-H1573,Aprepitant,unweighted_consensus,49,0.35614657402038574,0.27911079484893353,True,False,2.033016588040999,0.7240518927574158,0.13779217004776,0.28,0.94
NCI-H1573,Aprepitant,generic_response,49,0.35614657402038574,0.27911079484893353,True,False,1.4694190001653515,0.5233285427093506,0.17898507416248322,0.28,0.82
NCI-H1573,Aprepitant,shuffled_compound,49,0.35614657402038574,0.27911079484893353,True,False,1.1619852763479666,0.4138370752334595,0.19273856282234192,0.26,0.76
NCI-H1573,Aprepitant,no_change,49,0.35614657402038574,0.27911079484893353,True,False,0.0,0.0,0.20156854391098022,0.02,0.0
NCI-H1573,BI-3406,weighted_consensus_gated,49,0.6040160655975342,0.39555521073694133,True,True,1.1153906348988938,0.6737138628959656,0.21871298551559448,0.3,1.0
NCI-H1573,BI-3406,weighted_consensus,49,0.6040160655975342,0.39555521073694133,True,True,1.2115567174424209,0.7317997217178345,0.1749425083398819,0.44,1.0
NCI-H1573,BI-3406,unweighted_consensus,49,0.6040160655975342,0.39555521073694133,True,True,1.2256194869637056,0.7402938604354858,0.1703072190284729,0.42,1.0
NCI-H1573,BI-3406,generic_response,49,0.6040160655975342,0.39555521073694133,True,True,0.7863187393992407,0.4749491512775421,0.22433823347091675,0.24,0.76
NCI-H1573,BI-3406,shuffled_compound,49,0.6040160655975342,0.39555521073694133,True,True,0.5828444040424294,0.3520473837852478,0.2742798924446106,0.14,0.72
NCI-H1573,BI-3406,no_change,49,0.6040160655975342,0.39555521073694133,True,True,0.0,0.0,0.2499171793460846,0.02,0.0
NCI-H1573,Benztropine (mesylate),weighted_consensus_gated,49,0.17452533543109894,0.10608142856698559,False,False,3.13281410823264,0.5467554330825806,0.12835928797721863,0.1,0.76
NCI-H1573,Benztropine (mesylate),weighted_consensus,49,0.17452533543109894,0.10608142856698559,False,False,3.345116889683464,0.583807647228241,0.12751469016075134,0.22,0.76
NCI-H1573,Benztropine (mesylate),unweighted_consensus,49,0.17452533543109894,0.10608142856698559,False,False,3.750359731824866,0.654532790184021,0.1103435754776001,0.34,0.82
NCI-H1573,Benztropine (mesylate),generic_response,49,0.17452533543109894,0.10608142856698559,False,False,1.4277340109631012,0.2491757571697235,0.14221741259098053,0.12,0.7
NCI-H1573,Benztropine (mesylate),shuffled_compound,49,0.17452533543109894,0.10608142856698559,False,False,0.5613508720865948,0.09796994924545288,0.18789465725421906,0.12,0.48
NCI-H1573,Benztropine (mesylate),no_change,49,0.17452533543109894,0.10608142856698559,False,False,0.0,0.0,0.14285694062709808,0.02,0.0
NCI-H1573,Betamethasone dipropionate,weighted_consensus_gated,49,0.7545746564865112,0.3155839589937609,True,True,0.7705248370770088,0.581418514251709,0.32862618565559387,0.16,0.96
NCI-H1573,Betamethasone dipropionate,weighted_consensus,49,0.7545746564865112,0.3155839589937609,True,True,0.811658952663981,0.612457275390625,0.28853562474250793,0.22,0.96
NCI-H1573,Betamethasone dipropionate,unweighted_consensus,49,0.7545746564865112,0.3155839589937609,True,True,0.804549521148353,0.6070926785469055,0.28848257660865784,0.24,0.96
NCI-H1573,Betamethasone dipropionate,generic_response,49,0.7545746564865112,0.3155839589937609,True,True,0.2678111982768576,0.2020835429430008,0.3443877696990967,0.0,0.58
NCI-H1573,Betamethasone dipropionate,shuffled_compound,49,0.7545746564865112,0.3155839589937609,True,True,0.15255373721668083,0.11511318385601044,0.4734676480293274,0.0,0.46
NCI-H1573,Betamethasone dipropionate,no_change,49,0.7545746564865112,0.3155839589937609,True,True,0.0,0.0,0.3552532494068146,0.02,0.0
NCI-H1573,Bimatoprost,weighted_consensus_gated,49,0.45392826199531555,0.46549064728754513,True,True,1.140890028792674,0.517882227897644,0.16997556388378143,0.22,0.9
NCI-H1573,Bimatoprost,weighted_consensus,49,0.45392826199531555,0.46549064728754513,True,True,1.301312658370376,0.5907025933265686,0.15834000706672668,0.3,0.9
NCI-H1573,Bimatoprost,unweighted_consensus,49,0.45392826199531555,0.46549064728754513,True,True,1.320185893460869,0.599269688129425,0.15251639485359192,0.28,0.92
NCI-H1573,Bimatoprost,generic_response,49,0.45392826199531555,0.46549064728754513,True,True,1.1064784008986754,0.5022618174552917,0.162943035364151,0.26,0.82
NCI-H1573,Bimatoprost,shuffled_compound,49,0.45392826199531555,0.46549064728754513,True,True,0.47685802365588503,0.21645933389663696,0.20608387887477875,0.14,0.64
NCI-H1573,Bimatoprost,no_change,49,0.45392826199531555,0.46549064728754513,True,True,0.0,0.0,0.19001226127147675,0.02,0.0
NCI-H1573,Bortezomib,weighted_consensus_gated,49,0.6104155778884888,0.4566345518568949,True,True,1.1644463266255083,0.7107961773872375,0.45867201685905457,0.24,1.0
NCI-H1573,Bortezomib,weighted_consensus,49,0.6104155778884888,0.4566345518568949,True,True,1.2325198509453208,0.752349317073822,0.34107622504234314,0.4,1.0
NCI-H1573,Bortezomib,unweighted_consensus,49,0.6104155778884888,0.4566345518568949,True,True,1.2086042928700642,0.7377508878707886,0.3477987051010132,0.38,1.0
NCI-H1573,Bortezomib,generic_response,49,0.6104155778884888,0.4566345518568949,True,True,0.5347425475101537,0.32641518115997314,0.5021539330482483,0.1,0.8
NCI-H1573,Bortezomib,shuffled_compound,49,0.6104155778884888,0.4566345518568949,True,True,0.277049457898654,0.16911530494689941,0.5227187275886536,0.06,0.52
NCI-H1573,Bortezomib,no_change,49,0.6104155778884888,0.4566345518568949,True,True,0.0,0.0,0.5272822380065918,0.02,0.0
NCI-H1573,Carbidopa (monohydrate),weighted_consensus_gated,49,0.37911924719810486,0.3518188331200152,True,True,0.9593817562290649,0.3637200891971588,0.15500463545322418,0.08,0.68
NCI-H1573,Carbidopa (monohydrate),weighted_consensus,49,0.37911924719810486,0.3518188331200152,True,True,1.0304531884782886,0.39066463708877563,0.15963482856750488,0.22,0.68
NCI-H1573,Carbidopa (monohydrate),unweighted_consensus,49,0.37911924719810486,0.3518188331200152,True,True,1.2404927675062853,0.47029468417167664,0.14365728199481964,0.2,0.68
NCI-H1573,Carbidopa (monohydrate),generic_response,49,0.37911924719810486,0.3518188331200152,True,True,-0.4288927218814113,-0.16260148584842682,0.19564183056354523,0.06,0.36
NCI-H1573,Carbidopa (monohydrate),shuffled_compound,49,0.37911924719810486,0.3518188331200152,True,True,-0.2642595615122586,-0.10018588602542877,0.2295416295528412,0.04,0.48
NCI-H1573,Carbidopa (monohydrate),no_change,49,0.37911924719810486,0.3518188331200152,True,True,0.0,0.0,0.16440355777740479,0.04,0.0
NCI-H1573,Celecoxib,weighted_consensus_gated,49,0.2705928087234497,0.19822421464688925,False,False,2.103145208791412,0.5690959692001343,0.18241846561431885,0.2,0.84
NCI-H1573,Celecoxib,weighted_consensus,49,0.2705928087234497,0.19822421464688925,False,False,2.3116553306163232,0.6255173087120056,0.1645522117614746,0.34,0.84
NCI-H1573,Celecoxib,unweighted_consensus,49,0.2705928087234497,0.19822421464688925,False,False,2.3981180643879436,0.6489135026931763,0.15546861290931702,0.42,0.92
NCI-H1573,Celecoxib,generic_response,49,0.2705928087234497,0.19822421464688925,False,False,1.5639934323011133,0.4232053756713867,0.18732118606567383,0.22,0.88
NCI-H1573,Celecoxib,shuffled_compound,49,0.2705928087234497,0.19822421464688925,False,False,0.7209014329725093,0.19507074356079102,0.21714629232883453,0.2,0.76
NCI-H1573,Celecoxib,no_change,49,0.2705928087234497,0.19822421464688925,False,False,0.0,0.0,0.20530562102794647,0.02,0.0
