cell_line,drug,conc,shard,key,extracted
HT-29,Ralimetinib dimesylate,0.5,43,HT-29	Ralimetinib dimesylate	0.5,True
HT-29,BI-3406,5.0,44,HT-29	BI-3406	5.0,True
HT-29,Bortezomib,5.0,44,HT-29	Bortezomib	5.0,True
HT-29,Celecoxib,5.0,44,HT-29	Celecoxib	5.0,True
HT-29,DT-061,5.0,44,HT-29	DT-061	5.0,True
HT-29,Everolimus,5.0,44,HT-29	Everolimus	5.0,True
HT-29,GSK1059615,5.0,44,HT-29	GSK1059615	5.0,True
HT-29,Gemcitabine,5.0,44,HT-29	Gemcitabine	5.0,True
HT-29,Hydroxyfasudil,5.0,44,HT-29	Hydroxyfasudil	5.0,True
HT-29,IQ 1,5.0,44,HT-29	IQ 1	5.0,True
HT-29,LJI308,5.0,44,HT-29	LJI308	5.0,True
HT-29,PH-797804,5.0,44,HT-29	PH-797804	5.0,True
HT-29,Ralimetinib dimesylate,5.0,45,HT-29	Ralimetinib dimesylate	5.0,True
HT-29,Allantoin,0.05,45,HT-29	Allantoin	0.05,True
HT-29,Amsacrine,0.05,45,HT-29	Amsacrine	0.05,True
HT-29,Anethole trithione,0.05,45,HT-29	Anethole trithione	0.05,True
HT-29,Bimatoprost,0.05,45,HT-29	Bimatoprost	0.05,True
HT-29,Elagolix sodium,0.05,45,HT-29	Elagolix sodium	0.05,True
HT-29,Furosemide,0.05,45,HT-29	Furosemide	0.05,True
HT-29,Megestrol,0.05,46,HT-29	Megestrol	0.05,True
HT-29,Pentamidine (isethionate),0.05,46,HT-29	Pentamidine (isethionate)	0.05,True
HT-29,Quinestrol,0.05,46,HT-29	Quinestrol	0.05,True
HT-29,Rapamycin,0.05,46,HT-29	Rapamycin	0.05,True
HT-29,S-Adenosyl-L-methionine (disulfate tosylate),0.05,46,HT-29	S-Adenosyl-L-methionine (disulfate tosylate)	0.05,True
HT-29,Terfenadine,0.05,46,HT-29	Terfenadine	0.05,True
HT-29,Allantoin,0.5,47,HT-29	Allantoin	0.5,True
HT-29,Amsacrine,0.5,47,HT-29	Amsacrine	0.5,True
HT-29,Anethole trithione,0.5,47,HT-29	Anethole trithione	0.5,True
HT-29,Bimatoprost,0.5,47,HT-29	Bimatoprost	0.5,True
HT-29,Elagolix sodium,0.5,47,HT-29	Elagolix sodium	0.5,True
HT-29,Furosemide,0.5,47,HT-29	Furosemide	0.5,True
HT-29,Megestrol,0.5,47,HT-29	Megestrol	0.5,True
HT-29,Pentamidine (isethionate),0.5,47,HT-29	Pentamidine (isethionate)	0.5,True
HT-29,Quinestrol,0.5,47,HT-29	Quinestrol	0.5,True
HT-29,Rapamycin,0.5,47,HT-29	Rapamycin	0.5,True
HT-29,S-Adenosyl-L-methionine (disulfate tosylate),0.5,48,HT-29	S-Adenosyl-L-methionine (disulfate tosylate)	0.5,True
HT-29,Terfenadine,0.5,48,HT-29	Terfenadine	0.5,True
