cell_line,drug,conc,shard,key,extracted
A549,(R)-Verapamil (hydrochloride),0.5,5,A549	(R)-Verapamil (hydrochloride)	0.5,True
A549,Acetohexamide,0.5,5,A549	Acetohexamide	0.5,True
A549,Adenine,0.5,5,A549	Adenine	0.5,True
A549,Adenosine,0.5,5,A549	Adenosine	0.5,True
A549,Aliskiren,0.5,5,A549	Aliskiren	0.5,True
A549,Allantoin,0.5,5,A549	Allantoin	0.5,True
A549,Almonertinib (hydrochloride),0.5,5,A549	Almonertinib (hydrochloride)	0.5,True
A549,Amsacrine,0.5,5,A549	Amsacrine	0.5,True
A549,Anethole trithione,0.5,5,A549	Anethole trithione	0.5,True
A549,Artesunate,0.5,5,A549	Artesunate	0.5,True
A549,Azithromycin (hydrate),0.5,5,A549	Azithromycin (hydrate)	0.5,True
A549,Baicalin,0.5,6,A549	Baicalin	0.5,True
A549,Balsalazide (sodium hydrate),0.5,6,A549	Balsalazide (sodium hydrate)	0.5,True
A549,Berbamine,0.5,6,A549	Berbamine	0.5,True
A549,Berberine (chloride hydrate),0.5,6,A549	Berberine (chloride hydrate)	0.5,True
A549,Bergenin,0.5,6,A549	Bergenin	0.5,True
A549,Bimatoprost,0.5,6,A549	Bimatoprost	0.5,True
A549,Busulfan,0.5,6,A549	Busulfan	0.5,True
A549,Cepharanthine,0.5,6,A549	Cepharanthine	0.5,True
A549,Chlorhexidine (diacetate),0.5,6,A549	Chlorhexidine (diacetate)	0.5,True
A549,Ciclopirox,0.5,6,A549	Ciclopirox	0.5,True
A549,Clonidine (hydrochloride),0.5,6,A549	Clonidine (hydrochloride)	0.5,True
A549,Clotrimazole,0.5,6,A549	Clotrimazole	0.5,True
A549,Cloxacillin (sodium),0.5,6,A549	Cloxacillin (sodium)	0.5,True
A549,Cysteamine (hydrochloride),0.5,6,A549	Cysteamine (hydrochloride)	0.5,True
A549,Darinaparsin,0.5,6,A549	Darinaparsin	0.5,True
A549,Demeclocycline,0.5,6,A549	Demeclocycline	0.5,True
A549,Diammonium Glycyrrhizinate,0.5,6,A549	Diammonium Glycyrrhizinate	0.5,True
A549,Docetaxel,0.5,6,A549	Docetaxel	0.5,True
A549,Elagolix sodium,0.5,6,A549	Elagolix sodium	0.5,True
A549,Fluvoxamine (maleate),0.5,6,A549	Fluvoxamine (maleate)	0.5,True
A549,Folic acid,0.5,6,A549	Folic acid	0.5,True
A549,Furosemide,0.5,6,A549	Furosemide	0.5,True
A549,Fusidic acid,0.5,6,A549	Fusidic acid	0.5,True
A549,Gallic acid (hydrate),0.5,6,A549	Gallic acid (hydrate)	0.5,True
A549,Gallic acid,0.5,6,A549	Gallic acid	0.5,True
A549,Gemfibrozil,0.5,6,A549	Gemfibrozil	0.5,True
A549,Goserelin (acetate),0.5,6,A549	Goserelin (acetate)	0.5,True
